Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059441,1.1300704,0.443343206,0.271052612,0.097132772,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma,54.73825,177.9876,218.953,250.38335,265.92195,312.8909,317.1287,331.961,301.94325,292.76135,311.12515,302.64955,299.11805,306.88735,413.1855,491.23165,521.9201243,497.3764078,462.9898686,501.0512272,465.4460744,464.6303771,390.2268811,328.0607224
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13487251,57.5783264,53.72041318,59.78287735,63.31218343,64.30511989
Canada,3575.50249,3822.4956,3804.48495,3583.41305,3717.292215,3752.960365,3605.73213,3843.82586,3672.159645,3257.4556,3375.725535,3274.33617,3117.96135,2911.72175,2753.545865,2763.504695,2918.079,2964.603,2810.662433,2687.240819,2500.365418,2784.716691,2999.192497,2914.767
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.713292,9.7821719,5.634731893,0,0,0,0,1.377587124
China,95.27987,96.1592135,91.39522,67.87543,89.13506,108.41705,105.895559,94.99735,118.6584,113.255205,141.9663,112.831425,102.06035,96.869045,90.79982466,112.9505569,117.5975377,122.7250062,117.0421389,125.3258456,176.9815689,192.3568066,198.8926959,212.7592773
Colombia,0,0,0,0,0,0,0,3.5315,52.9725,63.567,76.9867,74.51465,64.9796,74.1615,33.54925,14.126,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,10.94765,10.45324,12.07773,6.3567,5.50914,3.60213,13.27844,15.32671,12.960605,12.8546609,6.0742385,3.9821551,1.59286204,1.217401702,3.807735602,36.66698222,39.52105921
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0.035315,0,0.035315,1.801065,3.10772,3.001775,4.37906,14.19663,34.18492,0.98882,5.615085,5.897605,0.247205,0.28252,0.035315,0,0,0,0,0,0,0,0,0
Denmark,107.3576,119.117495,116.18635,101.28342,144.7915,197.022385,184.944655,159.55317,194.79754,141.47189,124.838525,110.359375,105.45059,78.96434,73.914295,77.41048,74.6559334,78.9643268,54.01327695,47.22691846,60.05557346,61.46613208,76.02086548,296.2323488
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370626054,1.073038454,3.078795946,2.886820873,2.080618987,3.407108285,0.070535602
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,12.36025,38.8465,292.76135,596.8235,560.413735,597.5298,646.9708,535.3754,371.5138,267.33455,175.1624,25.4268,0,1.5538468,41.61443462,84.47911832,176.7881096,256.7142855,352.6135138,336.0592035,188.711216
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,50.4686665,157.15175,166.6868,182.2254,185.7569,169.15885,179.75335,169.15885,176.92815,163.2966758,172.2666096,166.0706505,138.6933097,117.7569046,129.7294781,172.1430063,128.1820169
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6990352,14.17416878,17.99398383,23.86241929
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035315,0,0,0,0.1412588,0.570446518,2.472029,6.396754,8.575868,3.770535013,16.93185637
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,27.086605,27.5457,27.19255,27.19255,27.19255,31.7835,31.7835,38.8465,35.315,29.6646,54.03195,41.31855,214.07953,177.49319,249.924255,191.371985,131.2663656,213.3377284,195.4369916,355.876743,300.2231157,190.9212261,527.1844819,479.7260071
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,189.606235,235.69231,258.823635,450.089675,504.65135,714.669655,547.3825,553.45668,531.384805,467.21745,722.96868,621.68526,600.955355,775.552715,786.60631,1147.94939,814.4373632,1133.512176,0,0,0,0,0,0
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5297205,1.173860628,242.9049951,375.9818382,295.2867599
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,--,--,--,--,,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,2.8252,0.14126,0,0,0,0,0.176575,0.741615,0.812245,3.03709,8.016505,20.023605,29.488025,51.63053,26.1331,19.246675,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53505,2.529636887,2.681741938,1.264870835,3.246144656,0,0,0,0
Indonesia,1279.1093,1162.21665,1266.04275,1384.348,1353.2708,1281.58135,1206.71355,1295.70735,1272.0463,1212.36395,1456.74375,1372.69405,1241.32225,1116.6603,1120.54495,1069.69135,1052.569379,1051.709518,1024.850182,864.2570315,846.3306828,813.6744396,785.8734424,741.2193429
Iran,0,4.2378,23.66105,124.3088,125.7214,152.5608,200.94235,217.5404,145.14465,209.0648,297.3523,313.95035,326.3106,337.25825,339.37715,295.9397,296.0103294,442.1831877,466.1137256,579.0711703,570.1530124,636.8924877,680.8266575,519.0378775
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2318345,3.860405892,6.536076708,149.5873191,251.3066735,324.1645066,406.29932
Italy,1.76575,2.18953,1.83638,13.455015,13.949425,13.98474,13.031235,2.40142,7.41615,4.414375,4.979415,4.37906,4.908785,8.05182,8.369655,7.804615,7.4867827,9.6409794,13.78579482,11.49899041,11.11237341,54.31014523,162.2274271,92.12793061
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.984677295,1.694675778,3.223233523,4.30319437,9.591705738,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1622528,48.1692508,13.27826155,0,0,0,0,0
Kazakhstan,120.071,144.7915,226.016,240.142,247.205,175.8687,282.52,22.6016,28.252,334.43305,410.71345,396.9406,389.52445,402.591,418.8359,434.02135,460.860522,451.9612176,539.9158483,568.1518708,402.5470654,366.4480112,237.6081432,249.6953762
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,28.252,27.89885,22.24845,26.48625,75.22095,193.17305,300.1775,351.7374,367.276,352.793853,349.4389565,111.7003961,226.6324992,199.5958261,230.0046411,251.0168876,169.7930776,163.860208,157.7507649,201.8588252,157.4682473,114.1017957,92.524514,89.22855021
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0199359,17.58428389,18.32126636,69.9847064,65.9217132
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,780.10835,791.056,758.21305,868.0427,1019.54405,1050.62125,1039.32045,1107.4784,1084.8768,1086.9957,1122.66385,1150.20955,1157.27255,1248.38525,1231.43405,1235.67185,1243.158566,1349.773646,1201.740246,1270.580448,1207.67694,1201.33791,1378.780526,1322.583053
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,8.61686,9.075955,1.589175,0,0,8.722805,11.93647,50.606395,46.12139,29.205505,32.4898,2.931145,0.35315,1.447915,1.83638,1.094765,0.917,1.346,3.316,1.873,1.706,1.718,1.064,0.986
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,38.49335,73.4552,85.81545,86.1686,97.4694,89.34695,107.3576,116.5395,127.134,131.3718,134.197,134.197,141.7543458,147.0515508,147.6576143,143.6335014,140.527807,139.9862269,138.3928455,250.3777253
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1461.82911,1749.08132,1854.002185,1698.08646,1890.376635,1841.995085,1930.3179,1965.91542,2179.57117,1963.93778,2102.37258,1972.41338,2133.343835,2362.64413,2074.650305,1799.687715,1952.000016,1809.858349,1765.130593,1741.724729,1477.913772,1483.017222,1519.447123,1593.722013
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,202.35495,306.88735,276.8696,416.36385,440.7312,425.1926,620.8377,773.3985,725.72325,564.3337,846.1474,917.13055,956.3302,771.63275,880.7561,929.84395,821.780968,961.4859212,954.8859212,971.4794372,977.4544272,809.1002972,708.2747588,576.4725146
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1727.25665,1783.05435,2222.37295,2481.2319,2666.2825,2885.2355,2974.2293,3011.6632,3380.3518,3433.3243,3561.51775,3414.9605,3898.42285,3658.634,3767.094119,4052.217986,4046.019641,4352.737742,4238.468254,4014.82797,3912.555278,4007.729865,4400.025115,4152.891104
Oman,100.2946,269.45345,298.7649,332.31415,371.16065,375.0453,456.9761,464.6641755,384.58035,407.5351,405.76935,385.99295,383.5209,398.3532,362.68505,353.15,375.8679465,393.6000224,462.8396124,487.2735743,465.1872346,484.1666146,535.1297646,548.6613596
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.21475,342.5555,384.73,391.8546296,349.3643686,401.2969098,415.4603302,398.3086774,396.5479134,384.6649313
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,61.4481,199.1766,185.0506,182.9317,185.0506,170.57145,202.1463031,194.4019261,177.9223413,189.9616299,185.8399412,118.9447615,162.0995485,172.4310092
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,1.447915,1.447915,1.48323,1.659805,1.659805,1.55386,1.62449,1.589175,1.377285,1.447915,1.62449,1.024135,0.105945,3.31961,2.68394,1.97764,31.288841,43.7196154,24.38159541,46.91655137,49.28324491,4.325030156,22.0380286,26.38444721
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24953,0.55185
Qatar,495.8226,584.1101,649.44285,677.69485,852.5041,957.0365,1097.94335,1536.2025,2005.1857,2408.12985,3351.3935,4230.38385,4238.85945,4330.67845,4199.58917,4375.17535,4509.265266,4379.572836,4346.886126,4412.611016,4392.577226,4383.790476,4460.722951,4405.392735
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7769234,0.911571557,0.390338444,4.855202442,25.59850493,33.23454215,78.78902576
Russia,6590.4853,6316.4409,6198.13565,6789.6619,7218.73915,7861.47215,8401.79165,8187.07645,8380.2495,7122.68235,6466.1765,6642.7515,6310.7905,6875.8305,6662.887084,7055.654809,7545.209033,7925.520372,8534.530234,9078.462031,8455.965215,8858.857624,6279.516067,4395.933431
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82875,14.2214714,22.0967484,25.82786891,16.88784235,49.88716388,20.24535968,19.74772767,14.10652444
Slovakia,0,0,0,0.14126,0.035315,13.031235,20.12955,6.3567,6.56859,0.529725,0,0.105945,1.659805,0.529725,0.105945,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.543136103,3.232556695,3.214023194,2.726813762,9.68E-08,3.106444491,1.420769003,4.58168855,2.225821975,0
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,1.659805,36.339135,40.788825,59.96487,98.705425,205.95708,290.253985,178.1264424,140.6952843,101.7784849,114.6422869,39.56404635,41.85812576,106.8706212,214.2040005,232.2216002
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
