Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,30.875,35.477,39.943,30.657,33.826,30.163,34.24,35.345,33.305,28.517,34.361,37.433,29.4,22.733,34.381,36.63,27.006,22.28,20.2,,
Canada,910.609,916.384,879.009,898.978,925.611,966.136,888.216,895.526,886.601,889.912,842.421,823.199,843.693,804.4,776.737,925.672,940.158,819.019,793.759,800.397,714.475
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chile,184.758,187.715,183.349,195.835,198.814,195.758,212.19,205.946,191.346,188.615,159.659,171.035,161.763,177.316,166.63,167.531,164.778,170.984,172.7,178.072,146.46
China,1407.22,1210.153,1393.825,1827.881,2457.753,2546.763,2915.432,3276.61,3582.588,4075.78,4773.176,5096.439,5427.945,5657.997,6192.826,6737.234,7599.318,8389.246,9238.06,,
Colombia,3.782,5.47,3.492,1.164,3.492,7.293,7.778,7.778,0,0,0,0,0,0,0,0,0,0,0,,
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Congo-Brazzaville,0,0,0,0.001,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,,
Congo-Kinshasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Costa Rica,0.92,5.64,9.5,10.44,10.46,10.72,13.32,14.26,12.66,8.06,10.04,3.54,0,0,0,0,0,0,0,,
Cote d'Ivoire,58.719,54.206,49.692,53.347,71.861,76.355,70.024,72.021,62.694,59.558,56.932,46.197,68.166,70.823,65.45,61.576,59.911,52.271,69.172,,
Croatia,79.567,79.465,79.181,76.558,85.34,81.295,77.229,85.34,70.602,82.291,71.883,57.693,47.264,50.049,37.629,47.325,59.864,63.34,65.24,,
Cuba,29.122,30.306,26.136,40.555,34.759,38.912,36.261,38.099,36.117,82.887,99.914,98.005,98.27,99.006,101.627,103.168,74.037,68.32,48.48,,
Cyprus,23.1,23.08,21.56,19.38,4.86,15.205,6.92,6.482,10.739,8.496,4.259,0.021,5.447,0.007,0.015,0.001,0,0,0,,
Czechia,114.759,120.585,124.139,129.49,129.962,156.204,156.83,145.118,163.288,145.118,156.022,139.828,142.446,132.297,148.834,144.008,107.227,157.779,150.207,154.486,123.649
Denmark,74.626,61.423,65.845,70.51,75.21,54.922,54.679,41.03,47.603,70.893,54.76,60.979,74.848,94.296,69.823,84.079,77.224,97.385,95.184,102.307,93.468
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dominican Republic,40.882,37.689,39.511,41.509,42.038,41.627,42.175,36.965,34.372,25.532,27.099,26.383,25.513,26.499,26.538,16.422,24.074,20.56,24.908,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Egypt,0.002,5.567,28.428,37.038,41.229,47.633,47.919,50.371,37.417,49.703,48.94,52.221,74.99,53.499,91.65,68.052,119.632,120.74,117.42,,
El Salvador,19.212,19.822,18.736,19.136,19.517,20.069,17.042,19.555,16.147,17.004,15.385,13.938,10.165,0,0,0,0,0,0,,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0.05,0.038,0.051,0.017,0.016,0.021,0.015,0,0,0.003,0.021,0.001,0,0,0.001,0,0,0,,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.002,0,,
Finland,218.966,198.344,219.02,220.716,222.208,193.235,215.285,225.34,223.657,217.748,217.465,222.836,217.898,225.219,227.501,203.392,226.517,222.392,232.428,235.989,209.446
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
Former Serbia and Montenegro,5.628,37.574,51.852,58.439,66.371,61.713,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
France,1720.935,1739.643,1611.95,1723.692,1713.686,1699.36,1649.749,1635.534,1665.721,1441.774,1294.031,1295.969,1139.088,1120.321,1081.936,1160.058,1105.379,1152.002,1064.652,986.307,662.564
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Gambia, The",0.165,0.113,0.197,0.141,0.242,0.119,0.044,0,0,0,0.002,0.004,0.001,0.002,0.002,0,0,0,0,,
Georgia,3.155,3.611,1.11,1.482,0.907,0.333,0.156,0.274,0.841,0.098,0.12,0.16,0.475,0.79,0.203,2.667,0.858,1.2,0.04,,
Germany,2087.844,2123.59,2118.057,2149.698,2217.565,2267.82,2214.009,2156.805,2121.694,1979.36,1883.247,1827.74,1881.182,1828.709,1805.085,1843.005,1837.345,1832.162,1720.562,1742.378,1662.548
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
Ghana,25.665,30.738,35.571,38.627,39.486,39.306,34.213,41.024,39.466,19.633,33.194,30.598,24.167,26.004,13.841,6.211,2.912,4.68,3.94,,
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Greece,390.066,381.746,385.986,399.434,408.713,377.566,400.524,410.499,388.355,359.01,406.44,333.447,421.922,392.407,420.514,445.935,472.445,477.879,491.266,469.88,455.982
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guatemala,16.557,15.805,10.995,7.381,5.859,7.411,1.035,0,0,0.001,0.002,0.002,0,0.001,0.001,0.002,0,0,0,,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guinea-Bissau,0.085,0.06,0.224,0.124,0.102,0.128,0.048,0,0,0,0,0,0,0,0,0,0,0,0,,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,,--
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hungary,116.792,113.518,99.667,106.471,110.409,130.257,139.626,139,134.211,109.54,115.719,118.869,109.724,108.571,122.322,125.411,121.061,120.828,134.821,120.815,122.187
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1510.361,1604.309,1671.228,1843.367,1954.111,2026.309,2272.808,2480.109,2515.67,2812.49,3039.94,3365.598,3746.22,3857.344,3785.39,3927.47,4266.95,4408.66,4529.952,,
Indonesia,223.592,283.496,317.6,336.344,378.608,331.609,316.969,302.934,254.98,325.097,284.994,265.072,251.003,320.31,341.945,383.59,405.358,387.989,309.74,,
Iran,12.525,5.518,7.924,33.609,38.671,42.915,79.17,67.923,24.562,19.266,10.062,3.57,1.103,0,6.413,3.71,33.989,34.825,33.542,,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ireland,59.262,67.703,67.178,65.623,58.275,65.987,64.27,68.874,65.927,54.074,61.464,60.777,59.182,59.222,54.538,73.538,64.377,58.92,60.293,52.34,62.145
Israel,210.83,198.445,197.799,213.064,187.673,189.237,204.22,179.99,204.326,229.056,222.715,211.691,224.06,219.666,225.28,236.607,208.051,236.203,232.872,247.734,247.057
Italy,1684.488,1672.465,1634.585,1702.914,1746.562,1787.355,1743.265,1789.926,1661.784,1532.309,1539.89,1449.4,1376.966,1154.081,1058.832,1261.118,1225.877,1339.684,1252.961,1284.222,1008.656
Jamaica,22.036,21.518,23.18,17.66,15.1,9.32,20.5,21.56,22.482,24.958,23.118,24.469,25.11,24.348,19.049,24.233,24.09,20.089,20.089,,
Japan,4316.343,4069.371,4071.652,4128.088,4035.317,4185.877,3987.049,4035.792,3840.575,3416.429,3466.505,3398.297,3429.446,3392.785,3204.537,3187.434,3138.311,3144.668,3012.775,3006.858,2418.88
Jordan,73.86,76.06,77.06,78.96,83.3,90.32,83.58,79.28,74.5,71.24,68.32,62.6,71.1,62.22,63.22,67.98,59.397,55.9,47.402,,
Kazakhstan,20.228,46.892,59.945,46.832,65.089,74.866,129.309,141.579,63.827,121.076,120.051,90.892,118.542,150.496,19.46,1.486,0.459,0.84,0.5,,
Kenya,49.04,39.32,29.86,27.66,40.88,35.48,32.86,31.98,35.46,32.56,31.04,35.44,19.94,11.34,11.94,12.62,0,0,0,,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kosovo,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,,
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kyrgyzstan,0.355,0.267,0.179,0.039,0.114,0.089,0.274,0.389,0.216,0.186,0.255,0.274,0.127,0.018,0.133,0.022,4.986,5.94,8.2,,
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0.005,0.009,0.002,0.002,0.002,0.002,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.005,0,0,0,0,,
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Liberia,2.986,1.283,0.001,0.105,0.041,0.065,0,0,1.181,0.005,0,0.001,0.655,0.312,0,0,0,0,0,,
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lithuania,93.68,127.62,122.48,140.72,174.56,178.26,163.94,95.28,182.58,167.68,180.12,178.6,170.24,179.24,149.34,171.448,187.693,198.223,194.911,192.051,156.994
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Madagascar,9.211,8.81,6.075,5.897,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malawi,0,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0,,
Malaysia,147.627,181.838,144.879,162.015,162.682,164.264,164.597,193.352,184.571,185.842,183.92,193.746,219.981,182.812,210.149,183.271,212.697,199.14,182.3,,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.468,17.516,17.516,,
Mauritania,2.416,1.877,1.337,0.001,0.004,0.006,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.877,0.06,0
Micronesia,,,,,,,,,,,,,,,,,,NA,NA,,NA
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0.02,0.02,,
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Montenegro,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Morocco,142.693,151.146,131.365,93.012,127.722,143.879,133.302,130.512,115.416,99.654,109.169,106.941,111.918,114.25,108.045,56.011,0,0,0,,
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Namibia,0.049,0.001,0.001,0,0.119,0.191,0.045,0.005,0.005,0.002,0.007,0.003,0.005,0.002,0.006,0.132,0,0,0,,
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Netherlands,1091.002,1094.112,945.722,985.823,1050.265,1054.899,975.687,977.343,998.192,975.142,1032.931,995.778,1007.636,952.729,958.706,1054.758,1093.76,1067.156,1096.515,1156.502,994.056
Netherlands Antilles,221.86,242.16,196.04,185.46,203.6,232.3,218.94,220.16,207.38,190.1,89.38,170.12,171.16,176.34,196.06,184.64,171.885,145.014,67.961,,
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
New Zealand,90.252,85.209,91.186,96.779,89.024,90.621,92.7,89.187,94.783,91.711,98.96,103.685,106.18,104.432,100.131,103.422,106.442,105.3,99.909,106.102,78.707
Nicaragua,16.45,18.634,15.876,17.159,15.876,15.301,16.048,15.742,13.348,16.01,14.976,16.048,10.38,12.142,13.578,15.493,12.925,14.86,12.96,,
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
North Korea,17.122,14.415,11.688,11.367,11.436,9.639,7.37,8.816,9.012,10.443,10.603,10.563,10.514,11.648,10.684,10.684,10.611,10.64,10.64,,
North Macedonia,16.283,12.949,11.221,16.507,16.812,19.536,21.488,21.548,21.467,20.288,17.137,14.007,5.265,1.057,0,0,0,0,0,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,NA,NA,,NA
Norway,18.203,18.819,12.862,11.065,10.088,21.565,7.754,22.272,17.237,20.151,30.469,24.997,27.567,36.668,24.654,23.786,9.927,36.285,66.29,62.045,61.524
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pakistan,89.021,141.298,143.447,157.349,165.766,172.727,165.197,169.165,161.433,138.332,133.708,119.931,139.51,140.756,167.325,168.871,175.439,207.74,198.42,,
Palestinian Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,,
Panama,44.378,44.762,18.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Papua New Guinea,2.169,2.007,2.048,1.662,1.014,0.71,0,0,0,0,0,0,0,0,0,0,27.283,28.24,27.358,,
Paraguay,2.093,1.937,1.976,1.604,0.978,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peru,62.285,75.44,75.156,84.86,84.515,97.629,103.09,112.267,98.989,101.365,96.878,95.762,92.371,86.423,84.921,87.357,105.431,125.64,112.94,,
Philippines,313.881,307.864,259.283,252.216,201.817,215.083,216.173,204.906,189.217,137.163,183.786,190.287,177.627,153.942,177.708,213.447,212.817,208.86,232.46,,
Poland,362.499,354.527,362.281,352.306,348.686,361.675,400.06,421.705,418.58,405.814,458.111,480.403,496.025,471.418,478.808,534.921,494.817,497.687,542.089,532.265,498.8
Portugal,231.531,254.76,228.914,257.102,257.124,265.805,269.883,249.066,243.311,207.329,225.461,208.864,222.671,246.521,212.882,282.059,276.496,286.542,255.446,227.003,210.988
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Romania,92.832,108.123,113.801,104.333,146.285,173.777,173.569,170.676,168.386,137.877,116.433,109.034,102.552,105.981,134.548,131.91,161.166,173.817,161.574,,
Russia,118.001,102.781,125.152,115.212,84.295,48.719,46.591,54.081,49.187,35.827,24.928,1.726,16.774,17.138,15.182,17.68,21.427,17.78,14.218,,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Senegal,17.82,19.36,17.26,23.58,22.26,19.8,9.08,15.56,18.9,13.1,13.14,14.96,15.56,17.24,16.8,17.88,23.177,24.9,20.5,,
Serbia,--,--,--,--,--,--,50.537,52.57,52.55,46.329,38.279,28.237,20.674,32.689,29.172,36.571,46.304,50.067,53.782,,
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Singapore,842.37,821.931,818.77,939.431,1114.32,1180.188,1153.93,1164.421,1164.824,883.502,953.498,980.369,973.563,948.175,953.5,992.809,955.941,1136.36,1121.18,,
Slovakia,107.308,109.116,112.125,112.953,120.115,108.087,115.517,122.281,118.846,115.174,110.348,121.595,108.254,118.344,106.774,119.172,116.631,112.811,109.763,102.176,113.275
Slovenia,1.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Africa,393.24,353.22,362.1,415.8,380.28,405.32,357.12,380.84,423.84,384.8,379.5,398.58,403.635,424.03,416.265,413.873,415.218,342.708,397.708,,
South Korea,2467.661,2376.512,2158.461,2161.328,2277.753,2286.396,2411.706,2389.677,2341.989,2323.751,2400.742,2527.95,2583.024,2475.108,2525.144,2801.63,2930.622,3041.145,3034.441,2934.302,2645.87
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,,
Spain,1157.352,1146.732,1139.806,1156.949,1191.423,1202.299,1220.957,1161.189,1178.153,1055.97,1059.281,1052.941,1184.174,1168.519,1192.405,1306.933,1292.187,1331.809,1364.682,1336.211,1098.599
Sri Lanka,42.301,39.1,38.176,39.92,44.02,40.16,43.14,38.78,37.08,38.64,36.38,33.101,32.52,34.86,36.48,33.54,33.608,29.98,35.26,,
Sudan,0.01,0,0,0,0,0,0.009,0.133,0.007,0.351,0.405,0.415,0.5,0,0.001,0.915,17.711,9,9,,
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817,0.283,0.188,,
Sweden,416.526,401.635,374.558,410.539,417.694,405.814,390.529,363.472,423.513,383.745,401.029,379.585,416.284,338.616,378.253,406.057,396.47,384.876,403.21,344.057,372.909
Switzerland,92.89,95.548,97.022,91.327,102.254,96.335,110.227,93.549,101.569,95.123,90.621,88.016,68.404,97.93,98.94,56.234,59,57.486,60.939,55.551,56.217
Syria,19.847,7.256,9.86,4.016,0.12,0.2,1.498,0.809,0.12,0.141,0.072,0.003,29.251,58.499,83.482,88.02,122.026,138,129.12,,
Taiwan,743.238,763.538,786.825,891.56,1007.154,1044.976,999.455,990.397,912.358,901.91,876.259,794.907,885.049,837.191,863.045,841.309,862.299,852.458,886.159,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,,
Tanzania,0,0.004,0,0.001,0,0.002,0.004,0.01,0.009,0,0.005,0.01,0.001,0,0.113,0,0,0,0,,
Thailand,676.092,712.757,728.497,775.821,872.273,827.652,829.254,798.372,811.791,833.7,848.781,830.056,841.84,894.544,831.618,891.399,852.165,926.815,979.825,,
The Bahamas,15.059,9.831,30.775,48.536,38.346,54.97,52.493,19.781,5.454,18.598,5.764,6.259,9.62,18.178,48.849,81.087,0,0,0,,
Timor-Leste,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Trinidad and Tobago,100.577,93.402,91.575,88.944,64.328,95.19,82.759,94.306,91.805,97.961,70.549,86.032,93.17,82.518,74.336,78.423,104.274,91.08,64.66,,
Tunisia,23.732,22.492,24.038,24.5,21.77,22.472,23.697,23.074,23.512,23.476,3.695,6.366,22.15,23.014,24.861,18.519,17.672,12.7,10.24,,
Turkiye,434.608,469.297,477.778,486.521,481.627,472.266,485.875,473.416,437.468,287.107,342.331,365.31,392.422,374.679,352.952,506.147,502.57,520.282,423.462,640.951,588.202
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tuvalu,,,,,,,,,,,,,,,,,,NA,NA,,NA
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
U.S. Territories,,,,,,,,,,,,,,,,,,,,,
U.S. Virgin Islands,395.6,432.4,403.19,403.19,490.05,490.05,423.329,430,430,430,430,250,56,0,0,0,0,0,0,,
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ukraine,113.751,228.922,325.13,334.46,339.548,259.441,213.247,206.097,195.475,180.326,155.76,119.639,30.948,21.156,7.282,6.635,10.574,21.206,6.46,,
